org8code_year,Yr,org4code,org8code,DistName,4 Year Cohort Total,4 Year Graduation Percent,5 Year Cohort Total,5 Year Graduation Percent,Mass Core Completion Count,Mass Core Completion Percent,Chronic Absence Count,Chronic Absence Percent,College Enrollment Count,College Persistence Count,College Enrollment Percent,College Persistence Percent,Out of School Suspension Count,Out of School Suspension Percent,Passed All 9th Grade Courses Count,Passed All 9th Grade Courses Percent,Enrolled in AP/IB Course Count,Enrolled in AP/IB Course Percent
00200000_2015,2015,20,200000,Barnstable,382,89.8,382,89.8,0,0,1557,20.2,347,347,68.29971182,59.65417867,1582,4.9,380,79.5,756,38
00200000_2016,2016,20,200000,Barnstable,407,82.8,Null,Null,0,0,1577,17.3,Null,Null,Null,Null,1601,4.2,361,82.8,770,42
00230000_2011,2011,23,230000,Bedford,188,93.6,188,96.3,Null,Null,Null,Null,178,178,74.71910112,70.2247191,Null,Null,Null,Null,Null,Null
00230000_2012,2012,23,230000,Bedford,199,94,199,95,168,87.5,894,9.8,191,191,79.05759162,74.86910995,Null,Null,235,92.8,410,27
00230000_2013,2013,23,230000,Bedford,244,93,244,93,222,97.4,936,12.3,228,228,76.31578947,69.73684211,897,2.8,216,87,420,30
00230000_2014,2014,23,230000,Bedford,205,95.6,205,95.6,190,96.9,931,9.9,196,196,80.10204082,75.51020408,890,2.8,231,91.3,444,33
00230000_2015,2015,23,230000,Bedford,236,95.8,236,95.8,225,97.8,898,8.6,230,230,85.65217391,79.56521739,902,2.3,229,94.8,445,37
00230000_2016,2016,23,230000,Bedford,218,92.7,Null,Null,199,97.5,877,11.1,Null,Null,Null,Null,877,3,219,93.6,425,37
00240000_2011,2011,24,240000,Belchertown,208,89.4,208,90.4,Null,Null,Null,Null,185,185,85.94594595,76.21621622,Null,Null,Null,Null,Null,Null
00240000_2012,2012,24,240000,Belchertown,189,89.4,189,91.5,72,41.9,786,15.6,171,171,80.70175439,74.26900585,Null,Null,195,84.1,366,21
00240000_2013,2013,24,240000,Belchertown,206,94.2,206,94.2,54,27.6,791,15.7,196,196,80.10204082,72.95918367,778,2.7,191,83.2,393,25
00240000_2014,2014,24,240000,Belchertown,203,95.1,203,95.1,43,21.9,762,16.1,196,196,73.46938776,67.85714286,751,3.5,180,84.4,380,25
00240000_2015,2015,24,240000,Belchertown,184,92.9,184,92.9,37,21.9,715,14.5,169,169,86.39053254,81.65680473,716,3.5,179,89.4,348,21
00240000_2016,2016,24,240000,Belchertown,184,91.3,Null,Null,39,22.8,724,16.2,Null,Null,Null,Null,726,4,189,86.2,347,20
00250000_2011,2011,25,250000,Bellingham,198,84.3,198,86.4,Null,Null,Null,Null,173,173,58.95953757,51.44508671,Null,Null,Null,Null,Null,Null
00250000_2012,2012,25,250000,Bellingham,209,81.3,209,83.3,177,100,750,23.1,176,176,65.34090909,56.81818182,Null,Null,180,79.4,370,34
00250000_2013,2013,25,250000,Bellingham,173,90.8,173,90.8,159,99.4,719,23.5,160,160,63.75,56.875,706,6.4,176,79.5,334,36
00250000_2014,2014,25,250000,Bellingham,164,89,164,89,147,100,681,20.1,147,147,68.02721088,61.9047619,668,4.5,143,83.2,344,37
00250000_2015,2015,25,250000,Bellingham,190,94.2,190,94.2,181,100,653,27,181,181,61.32596685,49.17127072,653,3.1,126,89.7,362,31
00250000_2016,2016,25,250000,Bellingham,173,88.4,Null,Null,156,100,598,26.8,Null,Null,Null,Null,600,5.8,149,87.2,313,34
00260000_2011,2011,26,260000,Belmont,298,93,298,94.6,Null,Null,Null,Null,286,286,77.62237762,73.42657343,Null,Null,Null,Null,Null,Null
00260000_2012,2012,26,260000,Belmont,282,95.7,282,96.8,274,100,1124,11.6,274,274,79.5620438,73.35766423,Null,Null,282,93.3,534,60
00260000_2013,2013,26,260000,Belmont,263,97.7,263,97.7,258,100,1158,9.7,258,258,75.58139535,69.37984496,1132,3.5,309,96.1,531,66
00260000_2014,2014,26,260000,Belmont,276,96.4,276,96.4,270,100,1226,7.5,270,270,72.22222222,68.14814815,1199,1.8,310,95.5,570,71
00260000_2015,2015,26,260000,Belmont,291,95.2,291,95.2,275,100,1255,5.7,275,275,78.18181818,74.54545455,1257,2.1,337,97,609,66
00260000_2016,2016,26,260000,Belmont,320,96.3,Null,Null,313,100,1257,5.3,Null,Null,Null,Null,1258,2.1,304,96.7,614,66
00300000_2011,2011,30,300000,Beverly,305,85.9,305,87.2,Null,Null,Null,Null,270,270,64.07407407,57.40740741,Null,Null,Null,Null,Null,Null
00300000_2012,2012,30,300000,Beverly,332,81,332,83.7,203,72.8,1368,16.4,276,276,70.65217391,63.76811594,Null,Null,352,82.1,592,32
00300000_2013,2013,30,300000,Beverly,333,89.2,333,89.2,296,96.4,1382,14,307,307,69.70684039,61.56351792,1333,3.8,333,88.3,621,25
00300000_2014,2014,30,300000,Beverly,333,93.4,333,93.4,301,98.4,1399,15.4,305,305,68.19672131,60.6557377,1359,4.6,339,83.5,645,29
00300000_2015,2015,30,300000,Beverly,341,93,341,93,315,97.8,1369,14.8,321,321,71.02803738,61.37071651,1381,5,340,85.3,688,33
00300000_2016,2016,30,300000,Beverly,362,89.5,Null,Null,325,97.3,1319,15.8,Null,Null,Null,Null,1334,5.5,301,86,687,32
00310000_2011,2011,31,310000,Billerica,371,84.1,371,86.5,Null,Null,Null,Null,327,327,72.78287462,65.44342508,Null,Null,Null,Null,Null,Null
00310000_2012,2012,31,310000,Billerica,398,88.4,398,91,244,67,1566,12,362,362,72.09944751,65.19337017,Null,Null,378,83.9,734,10
00310000_2013,2013,31,310000,Billerica,368,88.6,368,88.6,247,74.6,1498,15,329,329,72.03647416,63.82978723,1460,3.8,338,82.5,701,13
00310000_2014,2014,31,310000,Billerica,378,92.1,378,92.1,354,100,1447,16.7,354,354,72.31638418,65.25423729,1413,4.2,336,75.3,737,21
00310000_2015,2015,31,310000,Billerica,375,89.6,375,89.6,337,98.3,1293,13.8,342,342,72.80701754,65.20467836,1304,6.7,315,82.9,658,25
00310000_2016,2016,31,310000,Billerica,320,91.9,Null,Null,279,91.5,1215,12.3,Null,Null,Null,Null,1230,5,288,83.3,597,34
00350000_2011,2011,35,350000,Boston,4632,64.4,4632,70.9,Null,Null,Null,Null,3410,3410,56.8914956,45.92375367,Null,Null,Null,Null,Null,Null
00350000_2012,2012,35,350000,Boston,4368,65.9,4368,72.3,1066,31.7,17569,37.8,3356,3356,54.9761621,45.2920143,Null,Null,4327,56.9,8289,28
00350000_2013,2013,35,350000,Boston,4486,72.2,4486,72.2,1335,38.7,17512,36,3449,3449,61.58306756,51.08727167,17500,8.3,4365,61.7,8215,31
00350000_2014,2014,35,350000,Boston,4335,73.1,4335,73.1,1240,38.4,17275,35.5,3228,3228,62.39157373,51.36307311,17305,7.8,4301,63,7823,33
00350000_2015,2015,35,350000,Boston,4021,76,4021,76,1171,36.3,17276,34.4,3228,3228,62.05080545,50.24783147,17464,5.7,4416,33.9,8133,31
00350000_2016,2016,35,350000,Boston,4190,72.4,Null,Null,1154,34.2,17416,34.5,Null,Null,Null,Null,17664,5.4,4509,32.4,8184,34
00360000_2011,2011,36,360000,Bourne,146,91.8,146,91.8,Null,Null,Null,Null,136,136,69.11764706,55.14705882,Null,Null,Null,Null,Null,Null
00360000_2012,2012,36,360000,Bourne,145,90.3,145,90.3,133,100,609,18.7,133,133,66.16541353,54.13533835,Null,Null,130,73.8,300,28
00360000_2013,2013,36,360000,Bourne,148,92.6,148,92.6,135,100,595,20.2,135,135,73.33333333,61.48148148,582,9.8,146,78.8,280,29
00360000_2014,2014,36,360000,Bourne,128,93,128,93,121,100,515,15.5,121,121,67.76859504,55.37190083,512,9.4,103,79.6,245,25
00360000_2015,2015,36,360000,Bourne,125,91.2,125,91.2,114,100,489,24.1,112,112,61.60714286,43.75,491,12.2,110,86.4,266,24
00360000_2016,2016,36,360000,Bourne,151,91.4,Null,Null,139,100,490,20.2,Null,Null,Null,Null,495,9.1,119,57.1,248,42
00400000_2011,2011,40,400000,Braintree,393,95.2,393,97.2,Null,Null,Null,Null,378,378,75.13227513,65.87301587,Null,Null,Null,Null,Null,Null
00400000_2012,2012,40,400000,Braintree,369,95.1,369,96.5,353,97.2,1566,13.2,363,363,71.90082645,64.18732782,Null,Null,376,93.1,741,30
00400000_2013,2013,40,400000,Braintree,396,94.2,396,94.2,359,96,1597,14.1,373,373,74.5308311,68.09651475,1579,6,394,93.1,763,31
00400000_2014,2014,40,400000,Braintree,391,94.1,391,94.1,351,97,1608,12.3,362,362,79.83425414,73.48066298,1590,3.5,384,96.6,776,37
00400000_2015,2015,40,400000,Braintree,413,93.7,413,93.7,381,97.2,1617,11.8,392,392,81.8877551,76.78571429,1629,3.6,419,95,802,36
00400000_2016,2016,40,400000,Braintree,405,93.8,Null,Null,368,94.4,1596,11.3,Null,Null,Null,Null,1610,3,383,94.5,788,36
00440000_2011,2011,44,440000,Brockton,1205,69.4,1205,73.4,Null,Null,Null,Null,889,889,62.54218223,47.24409449,Null,Null,Null,Null,Null,Null
00440000_2012,2012,44,440000,Brockton,1155,74.5,1155,79.3,245,26.1,4810,25.5,939,939,61.98083067,49.73375932,Null,Null,1286,55.7,2085,10
00440000_2013,2013,44,440000,Brockton,1203,81,1203,81,231,23.2,4889,25,994,994,62.57545272,47.88732394,4867,20.7,1320,62.5,2182,15
00440000_2014,2014,44,440000,Brockton,1251,77.4,1251,77.4,207,19.8,5052,24.7,1046,1046,60.3250478,46.74952199,5012,21.3,1230,65.6,2364,12
00440000_2015,2015,44,440000,Brockton,1248,81.6,1248,81.6,189,17.3,4907,23.9,1090,1090,60.4587156,46.14678899,4950,8.8,1183,63.8,2402,16
00440000_2016,2016,44,440000,Brockton,1323,79.1,Null,Null,294,26.2,4920,24.4,Null,Null,Null,Null,4961,9.4,1271,61.8,2401,19
00460000_2011,2011,46,460000,Brookline,446,89.5,446,93.3,Null,Null,Null,Null,413,413,68.52300242,65.13317191,Null,Null,Null,Null,Null,Null
00460000_2012,2012,46,460000,Brookline,464,92.9,464,94.6,413,91.6,1848,7.6,451,451,70.50997783,66.51884701,Null,Null,456,87.7,904,45
00460000_2013,2013,46,460000,Brookline,440,94.3,440,94.3,388,93.3,1827,8.6,416,416,69.71153846,64.42307692,1804,5.1,434,88.7,857,45
00460000_2014,2014,46,460000,Brookline,420,93.8,420,93.8,358,91.1,1861,5.1,393,393,70.48346056,65.13994911,1854,1.9,461,89.6,903,45
00460000_2015,2015,46,460000,Brookline,477,94.3,477,94.3,411,89.7,1927,8.6,456,456,70.39473684,66.00877193,1945,2.2,492,90.2,921,46
00460000_2016,2016,46,460000,Brookline,447,92.8,Null,Null,408,94.9,1980,6.8,Null,Null,Null,Null,1998,1.4,499,93.8,947,44
00480000_2011,2011,48,480000,Burlington,284,90.8,284,93.3,Null,Null,Null,Null,264,264,76.13636364,72.34848485,Null,Null,Null,Null,Null,Null
00480000_2012,2012,48,480000,Burlington,246,89,246,89.8,229,100,1068,13.3,229,229,83.84279476,79.03930131,Null,Null,259,85.3,495,35
00480000_2013,2013,48,480000,Burlington,274,94.5,274,94.5,257,99.6,1079,12.1,257,257,85.60311284,80.15564202,1050,4.5,250,91.6,528,35
00480000_2014,2014,48,480000,Burlington,281,93.6,281,93.6,259,100,1073,10.9,259,259,82.23938224,78.37837838,1040,2.9,255,94.1,529,36
00480000_2015,2015,48,480000,Burlington,266,95.1,266,95.1,256,100,1009,8.7,256,256,80.859375,75.78125,1009,0,234,93.2,512,41
00480000_2016,2016,48,480000,Burlington,256,95.3,Null,Null,249,100,998,8,Null,Null,Null,Null,1002,1.2,249,90.8,514,40
00490000_2011,2011,49,490000,Cambridge,427,82.7,427,87.6,Null,Null,Null,Null,373,373,61.93029491,52.8150134,Null,Null,Null,Null,Null,Null
00490000_2012,2012,49,490000,Cambridge,447,83.2,447,89,2,0.5,1787,37,398,398,60.8040201,50.50251256,Null,Null,408,82.4,829,37
00490000_2013,2013,49,490000,Cambridge,457,87.7,457,87.7,354,86.3,1844,30.7,409,409,66.01466993,56.4792176,1764,4.3,456,82.7,834,44
00490000_2014,2014,49,490000,Cambridge,416,91.3,416,91.3,340,86.1,1885,30.4,395,395,65.82278481,54.93670886,1803,6.1,458,83.6,853,43
00490000_2015,2015,49,490000,Cambridge,445,93.5,445,93.5,413,94.1,1888,29.8,439,439,72.66514806,65.37585421,1905,3.8,487,82.3,894,45
